year,cd,agriculture_forestry_fishing_hunting_mining,construction,manufacturing,wholesale_trade,retail_trade,transportation_warehousing_utilities,information,finance_insurance_realestate_rental_leasing,professional_scientific_management_administrative_waste_management_services,educationalservices_healthcare_socialassistance,arts_entertainment_recreation_accommodation_foodservices,otherservices_except_public_administration,public_administration
2020,7_MO,4268,17738,37760,8276,29877,16498,4484,16904,22499,58706,18301,12402,9420
2020,2_KS,8281,24242,48991,9144,28255,20509,5002,20254,25013,80142,16827,12990,26150
2020,3_KS,1849,16270,27092,10747,26434,14291,9529,32266,46730,57606,13138,8352,10071
2020,1_KS,18569,12869,29733,6136,15699,11016,2925,9165,9760,42207,7366,7408,9516
2020,4_KS,7272,18114,52500,7612,22759,13090,3487,13712,20885,57800,13690,10105,11936
2020,1_NE,4074,10854,18412,3983,11993,8262,2869,12629,13453,34184,6362,6254,10026
2020,2_NE,3201,23119,29145,8970,26908,19949,6968,38015,38336,70473,14617,10884,13462
2020,4_CO,7535,10593,10384,4471,12771,7335,6911,16712,21976,26044,6264,4336,9298
2020,2_LA,6032,35947,36309,12146,38844,29904,6891,25178,46947,106280,39487,19051,28570
2020,1_LA,8921,15016,13646,6001,16948,11754,2272,10076,17949,38121,12345,6657,9228
2020,3_LA,20315,23885,24745,8961,28040,14486,3406,14118,21846,60071,18817,11094,12800
2020,6_LA,1783,15057,16543,4290,12286,7153,2831,9500,14666,30170,8793,5932,9633
2020,5_LA,9527,19050,19759,7252,23845,13056,4131,12691,17010,66402,13429,10242,18456
2020,4_LA,11958,17671,23137,5004,22278,14458,3239,11585,16815,58654,14050,10534,16422
2020,4_AR,9643,19707,47569,6162,27005,17527,3024,12275,16059,60780,12263,10743,14490
2020,2_AR,1957,12680,16499,5678,19770,11144,4906,13794,18428,52615,10535,7719,11165
2020,3_AR,3548,19310,41389,7511,38844,14983,2485,10818,22912,47868,13712,9502,6958
2020,4_OK,9998,14496,18823,5626,20009,10736,2746,10301,15888,45395,12446,9046,18663
2020,5_OK,15281,25346,29470,11411,36424,19723,5784,27034,38902,81389,24199,16548,35270
2020,3_OK,19920,20008,26743,7446,24491,15276,3439,11155,14362,50287,14467,10181,16651
2020,2_OK,13840,24945,47460,8082,30265,23042,4186,15989,20467,71398,21061,13661,22335
2020,1_OK,4618,13236,24639,6622,18209,11619,4994,13944,21183,39978,13649,9051,6865
2020,24_TX,3740,34682,42376,18142,46282,35223,13201,61925,91394,80831,33568,18030,11009
2020,3_TX,4178,27881,44879,13867,40049,19118,16051,50926,71884,80212,23324,18259,13880
2020,26_TX,6917,25282,42656,15844,43437,24875,13538,58736,71074,83419,26544,15790,14082
2020,4_TX,3114,8479,14682,2578,11154,6226,1161,7555,8403,24300,5243,4304,6359
2020,5_TX,7500,33537,31686,10423,32274,19155,5063,20460,29417,58124,15376,13319,11999
2020,25_TX,11977,40775,48369,14750,45637,33331,5358,26967,34700,86371,21957,18494,17617
2020,30_TX,2576,54594,39494,13684,41158,34523,8454,34857,48382,80017,26871,18001,16722
2020,33_TX,132,7182,4614,1419,3500,4084,545,3453,5055,5518,4556,1470,565
2020,32_TX,252,1372,2010,469,3008,1257,856,2691,5571,5283,2192,1739,692
2020,6_TX,5124,10143,17782,2993,10990,7905,1314,5482,7387,23957,5507,3989,6525
2020,1_TX,11084,16904,24151,6092,20719,11237,2733,9400,14520,50243,11247,8946,10383
2020,17_TX,5458,16290,26140,5782,20831,11681,2817,12898,18968,48736,10840,8219,13618
2020,10_TX,13177,19427,22887,6672,19396,10277,3684,12923,21725,52754,12024,8476,9910
2020,36_TX,4611,23773,28896,6471,17460,13904,1713,9255,19096,36844,11380,8884,9086
2020,8_TX,15554,28004,33489,13027,31811,19516,4513,21817,35632,64142,18463,14358,15342
2020,12_TX,8381,42161,56533,15905,46213,41397,7138,37980,48331,88632,26573,21032,19534
2020,13_TX,15060,18003,28388,6146,20404,14514,2233,10826,14627,50598,12327,9370,13558
2020,19_TX,18912,18002,15279,7726,21071,12846,3402,13156,13116,56642,12819,9812,13381
2020,31_TX,2046,14188,15762,4040,13622,6312,2629,9793,17590,30203,7821,6088,10449
2020,11_TX,33578,26791,19469,8675,30368,18617,3810,16437,25267,64434,18261,14456,25039
2020,23_TX,14691,13636,10039,5014,15339,10747,2486,14349,16431,41020,11467,6607,13818
2020,7_TX,26533,26228,38151,14998,35370,22034,7044,40239,75753,81381,24337,15811,11605
2020,18_TX,10710,52277,46331,16539,37875,31514,4198,23100,46145,65623,26536,21013,11240
2020,9_TX,11390,57568,47898,16654,44488,33618,6506,31731,62991,123161,35878,28326,20518
2020,29_TX,424,6120,2401,868,1963,1490,108,1300,2299,2591,1352,1603,282
2020,2_TX,21958,46075,52394,18275,37958,38927,6409,26674,52978,82734,22448,17738,15189
2020,22_TX,2804,2633,3161,653,1685,1977,151,1271,1801,5260,1095,978,747
2020,14_TX,5164,31408,41460,6577,22030,15068,2418,14429,28748,62824,15474,10894,15021
2020,38_TX,448,1405,1523,203,1065,567,260,640,902,1773,744,576,459
2020,27_TX,12881,29578,25454,7414,26379,14936,2654,14286,18765,58002,16790,10922,18262
2020,21_TX,2426,9431,6105,2415,9184,4086,1617,7188,9065,18443,6517,4267,4278
2020,28_TX,15393,38728,29481,12592,44081,37366,4841,26297,36352,94450,29089,16428,29505
2020,20_TX,3736,27236,19734,6893,32965,16768,6694,41930,44053,81698,28421,13882,19050
2020,15_TX,2670,8281,5590,3106,8586,5515,726,3516,6492,21106,5255,4718,3971
2020,35_TX,1775,29737,17988,6884,25861,12036,5965,14681,31232,45487,20500,9980,16019
2020,34_TX,9372,24880,17792,6948,29904,15459,4073,13818,23658,87628,18494,13121,20114
2020,37_TX,3511,31602,45810,11993,41649,16813,18850,43411,102994,92428,29741,19844,32868
2020,16_TX,2164,17501,19612,6840,23684,17665,4441,12201,26099,62764,14448,8271,21054
2020,2_NM,5292,9017,4703,1760,9440,5336,1475,4755,9226,27857,7699,4298,10468
2020,8_CO,7501,26429,24920,8818,22961,15261,6074,13938,26982,37994,13819,9811,12280
2020,7_CO,4250,16951,14488,5710,18297,8790,5503,16524,29423,35854,13232,8104,13003
2020,6_CO,5034,38601,30841,13330,38325,26863,17362,43713,67089,84814,29987,17317,21698
2020,2_CO,10349,31553,43456,9261,34224,17013,9345,24345,61825,77550,32812,14837,18563
2020,5_CO,2035,19702,16794,4399,22493,10934,6644,20328,34474,52745,15185,12216,18421
2020,1_CO,2804,16230,13916,6488,17220,9986,8029,23209,45299,46180,17693,10034,10064
2020,3_CO,11485,23167,12626,5471,24255,10896,3362,11838,19358,47306,16753,8320,15744
2020,0_WY,23965,15244,9266,4269,18425,13224,2582,9280,11534,43997,11637,6745,14716
2020,3_UT,5358,10187,9705,3515,12634,6895,2897,9467,16843,24315,7735,4324,5540
2020,2_ID,16123,19205,26077,7298,21775,12303,2765,12485,21578,44776,11959,7602,11658
2020,4_UT,3878,25053,33111,9528,30050,13077,7985,28434,46487,54899,12240,11207,13598
2020,2_UT,6572,36193,51084,12236,43309,30040,8396,35528,54656,83211,26648,17886,26304
2020,1_UT,3133,15874,34832,4718,18401,9234,2135,11348,19571,33250,8854,6211,17633
2020,2_NV,12902,22151,24531,8754,26743,16312,3774,13193,24928,44658,28596,9600,19736
2020,2_AZ,10402,25600,24136,5394,31986,19702,4198,19049,25362,70914,24413,11179,28249
2020,3_AZ,398,12986,9167,2961,9486,7310,1597,6872,14180,15872,8724,5282,4318
2020,4_AZ,1804,30915,40987,12058,43799,21947,10028,51538,61985,81804,32912,15562,16142
2020,1_AZ,1540,21114,23483,9655,33953,14497,7346,49737,59841,70357,24565,14181,13446
2020,8_AZ,557,14062,11153,4419,16762,8617,3210,17598,18103,28814,8126,5679,7481
2020,9_AZ,7354,34710,29792,11034,45243,31511,5731,32874,36938,77000,27551,15897,27912
2020,7_AZ,1175,4330,4328,1815,4717,4673,582,3195,5342,11316,3352,1797,4625
2020,5_AZ,1680,14655,27385,7705,22763,12549,5578,29451,28961,47622,10691,8380,11974
2020,6_AZ,5142,21629,23952,5824,29171,14589,4487,19275,40397,73341,21039,12537,28016
2020,3_NM,20042,21084,12142,5175,28416,15225,3456,12570,30906,63693,20985,13104,28308
2020,1_NM,3788,20605,12142,5508,23617,9798,4252,16114,36663,64161,18479,12406,21939
2020,4_NV,1649,9073,4649,2287,11051,8160,1747,6576,11811,19229,21414,5218,8571
2020,1_NV,809,21519,9146,3700,21549,12466,2094,9731,22757,25467,49791,10441,7085
2020,3_NV,1129,27681,17439,9795,45139,29071,8514,30896,56276,72454,111116,16841,17430
2020,3_CA,4314,28270,25026,8968,32345,18078,6540,31598,44207,70167,24009,14008,36866
2020,23_CA,3798,28572,27439,9392,34857,34471,3985,13856,29750,68805,20723,15041,31694
2020,43_CA,1000,18179,38443,10723,27318,28234,10635,18175,44428,57427,27720,17500,13382
2020,44_CA,2564,30456,64204,21051,41375,46052,7889,21049,47752,81076,29773,21598,19486
2020,34_CA,1245,29274,39968,15684,41010,23486,21312,23998,57549,75250,51314,24985,13868
2020,37_CA,448,10906,18320,6918,19124,11627,15650,14425,41604,40707,22694,12673,6595
2020,32_CA,1854,27617,39252,15073,41322,19654,47969,52728,94146,103473,46039,22832,14328
2020,30_CA,254,5038,7295,3142,9706,6144,12310,8904,17400,22801,14164,7778,4367
2020,36_CA,230,2883,8243,3302,6809,3131,9965,11487,24384,16165,6435,2562,3315
